cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
35;SP;1991;2912.0;5227;374;1972.0;5601.0;226.0;;;8896.0;9685.0;;;789.0;;;3138
35;SP;1992;2794.0;5002;283;1841.0;5285.0;161.0;;;8472.0;9116.0;;;644.0;;;2955
35;SP;1993;3451.0;4858;325;2304.0;5183.0;232.0;;;8498.0;9224.0;;;726.0;;;3683
35;SP;1994;3868.0;5546;369;2645.0;5915.0;259.0;;;9194.0;9981.0;;;787.0;;;4127
35;SP;1995;4791.0;6030;456;3094.0;6486.0;368.0;;;10596.0;11555.0;;;959.0;;;5159
35;SP;1996;5022.0;6377;431;3173.0;6808.0;343.0;1553.0;335.0;11361.0;12320.0;143.0;24.0;959.0;1696.0;359.0;5365
35;SP;1997;4973.0;6534;502;3274.0;7036.0;404.0;2671.0;2055.0;11509.0;12537.0;274.0;151.0;1028.0;2945.0;2206.0;5377
35;SP;1998;5920.0;7502;518;3833.0;8020.0;382.0;6291.0;5434.0;12952.0;13986.0;573.0;351.0;1034.0;6864.0;5785.0;6302
35;SP;1999;7567.0;8490;529;4905.0;9019.0;450.0;7723.0;6182.0;14640.0;15763.0;644.0;412.0;1123.0;8367.0;6594.0;8017
35;SP;2000;648.0;8705;544;6116.0;9249.0;599.0;8110.0;6029.0;14441.0;15591.0;740.0;378.0;1150.0;8850.0;6407.0;9642
35;SP;2001;539.0;8655;538;6588.0;9193.0;618.0;8301.0;6096.0;14669.0;15773.0;699.0;379.0;1100.0;9000.0;6475.0;10625
35;SP;2002;537.0;8077;533;6042.0;8610.0;547.0;7611.0;5643.0;13471.0;14526.0;673.0;363.0;1053.0;8285.0;6006.0;9415
35;SP;2003;515.0;7826;522;6132.0;8348.0;538.0;7487.0;5461.0;13017.0;14048.0;640.0;378.0;1029.0;8127.0;5839.0;9570
35;SP;2004;418.0;6045;401;4743.0;6446.0;458.0;5958.0;4434.0;10474.0;11336.0;572.0;285.0;861.0;6530.0;4720.0;7611
35;SP;2005;454.0;4379;340;3415.0;4719.0;367.0;4575.0;3474.0;8091.0;8870.0;512.0;260.0;776.0;5087.0;3734.0;5796
35;SP;2006;474.0;3939;346;3285.0;4285.0;387.0;4315.0;3121.0;7582.0;8377.0;530.0;242.0;788.0;4846.0;3364.0;5761
35;SP;2007;507.0;2868;267;2267.0;3135.0;291.0;3315.0;2417.0;5834.0;6437.0;396.0;185.0;595.0;3711.0;2602.0;4150
35;SP;2008;536.0;2706;242;2027.0;2948.0;292.0;3263.0;2265.0;5660.0;6332.0;451.0;199.0;667.0;3715.0;2464.0;3891
